mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
19.537999868392944,12.07830094474649,0.14989781379699707,0.05754878281220058,10,1,2,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.6646598123279086,0.6676666883584944,0.6718653454188945,0.6680639487017658,0.0029550283266070857,15
48.988924503326416,2.8908290131060057,0.2625896135965983,0.09114845021567372,10,1,2,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.6648375587123069,0.6680725039943318,0.6725098285999231,0.6684732971021873,0.0031449862367037645,13
12.868853251139322,1.3137273456758118,0.11040274302164714,0.005427375359294237,10,1,10,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.6646536723160414,0.6676579173679773,0.6717717294589041,0.6680277730476409,0.00291767936210715,16
70.74280420939128,6.702892803377778,0.2822214762369792,0.02055998144319218,10,1,10,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.664744561694921,0.6680605682891656,0.6723337822801216,0.6683796374214027,0.003106490099353087,14
39.37642168998718,0.8112034422056428,0.20534547170003256,0.01693570032299839,10,2,2,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.6667781619279857,0.6711798404303269,0.6737159947342175,0.6705579990308435,0.002866286337916525,11
28.31814956665039,3.96766194427679,0.12995235125223795,0.006561894120975795,10,2,2,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.666805249371822,0.6717028069585486,0.6742346434645239,0.6709142332649648,0.0030838677553604505,9
17.2745676835378,7.963485890609918,0.1386117935180664,0.05483022883315811,10,2,10,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.6667119537488075,0.6710544835972776,0.6736610457520351,0.6704758276993733,0.0028663102766989276,12
30.498823086420696,8.309031499024673,0.1241449515024821,0.0016323619482816788,10,2,10,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.6667214681659286,0.6715172320389258,0.6741973681914084,0.6708120227987543,0.003092492021230317,10
78.18050384521484,2.657141231923666,0.1340328057607015,0.0012442635430711198,20,1,2,100,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.6910542916269019,0.6984112820376809,0.6987109999359762,0.696058857866853,0.003540877494085634,7
210.17940815289816,24.598742312254284,0.27907363573710126,0.14435486484843613,20,1,2,200,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.6924015301015883,0.699794897039846,0.70029925891507,0.6974985620188349,0.003610022714551503,5
64.51475834846497,22.674485856019015,0.1687608559926351,0.06955208242633361,20,1,10,100,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.6913556794078741,0.6974787813478143,0.6985273944367849,0.6957872850641578,0.003162724971939443,8
67.74443467458089,0.8549987002509379,0.14777914683024088,0.0030966640665983577,20,1,10,200,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.6924032769037054,0.699152519558894,0.6997464457368366,0.697100747399812,0.003330451308011724,6
46.45438679059347,0.4448710477593507,0.11748925844828288,0.003006416184458926,20,2,2,100,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.6929199975243661,0.7010924573599802,0.7007483476347564,0.6982536008397009,0.003774042582321257,3
96.52602012952168,6.976964864916205,0.1504384676615397,0.0031015927254703438,20,2,2,200,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.6941225654044352,0.702704166488883,0.702215077554313,0.6996806031492104,0.003935195012172351,1
35.288561741511025,3.1331431278825312,0.16267077128092447,0.062157519256391805,20,2,10,100,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.6927152169903921,0.7005416770627091,0.7002301024782671,0.6978289988437893,0.003618226389961396,4
122.52521626154582,3.805687676570534,0.3920741081237793,0.012546020515921918,20,2,10,200,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.6937046029632387,0.7017554850057265,0.7015326975861368,0.698997595185034,0.003743815660843998,2
