mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__max_depth,param_regressor__min_samples_leaf,param_regressor__min_samples_split,param_regressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
44.46127471923828,21.175968456790727,0.7971282005310059,0.0808464205001957,,1,2,100,"{'regressor__max_depth': None, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100}",0.9673566054480471,0.9807511140113264,0.9793090025677887,0.97922396642521,0.9857471052688215,0.9784775587442388,0.006048791378442182,3
171.23681960105895,104.1431087942019,20.288003969192506,23.021604093413846,,1,2,300,"{'regressor__max_depth': None, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 300}",0.9677954217079585,0.9809234898256389,0.9794750887082428,0.9793842936408306,0.9858797407708224,0.9786916069306987,0.005940893541255508,1
42.95188856124878,28.277276440665304,0.668386173248291,0.07928771206030155,,1,5,100,"{'regressor__max_depth': None, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 100}",0.9672285440873348,0.9806516908997367,0.9790724344314239,0.9794019077003837,0.9857336553430948,0.9784176464923948,0.006084545503471304,4
231.44141693115233,188.20664940436743,3.967243480682373,2.147438193284743,,1,5,300,"{'regressor__max_depth': None, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 300}",0.9676315281232808,0.9808178621991436,0.9792506622559279,0.9795221060906366,0.9858454040347451,0.9786135125407467,0.005983224811777702,2
100.40278062820434,57.38140741185546,1.8787522315979004,0.3220787321344297,,2,2,100,"{'regressor__max_depth': None, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100}",0.9665611220141155,0.9801562177076915,0.9785786801877927,0.9790503540370834,0.9854177256321538,0.9779528199157672,0.00619591546898515,7
295.84372787475587,172.49854549022032,5.233613967895508,1.0645118850468602,,2,2,300,"{'regressor__max_depth': None, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 300}",0.9669663003445419,0.9803078132098662,0.9787199854629297,0.9791942111909632,0.9855327294351921,0.9781442079286986,0.006093456858701021,5
98.3542767047882,54.82968003446707,1.7950063228607178,0.29958105644226934,,2,5,100,"{'regressor__max_depth': None, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 100}",0.9664986179812403,0.9801400462980441,0.9785205387310956,0.9790666357032387,0.9854078393197446,0.9779267356066728,0.0062148130112453515,8
285.6753261566162,159.997177028917,4.904533433914184,0.9059827101303554,,2,5,300,"{'regressor__max_depth': None, 'regressor__min_samples_leaf': 2, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 300}",0.966915917872587,0.9802769832941918,0.9786579902254391,0.9791891144803314,0.9855077773385966,0.9781095566422291,0.006102379555387126,6
65.95093641281127,38.83666825283085,0.5852052211761475,0.019553764292617407,10,1,2,100,"{'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100}",0.9380263274294509,0.9412291448401147,0.937542389798487,0.9309570060857018,0.9421573775728354,0.9379824491453179,0.003937600488266059,21
190.1307867527008,111.17805300078727,1.2299445152282715,0.026669352502792894,10,1,2,300,"{'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 300}",0.9382338312612875,0.9412982542266488,0.937668879003372,0.9309951608826086,0.9421661073543033,0.938072446545644,0.0039354994131624,17
64.1890263080597,37.430112321039104,0.6025789260864258,0.024028605646668273,10,1,5,100,"{'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 100}",0.9380225355622994,0.9412234676320123,0.9375350599723911,0.9309544290744238,0.9421585917944819,0.9379788168071217,0.003937997775459652,22
188.53943371772766,103.11191657024905,1.224674940109253,0.03599748435084326,10,1,5,300,"{'regressor__max_depth': 10, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 5, 'regressor__n_estimators': 300}",0.9382321027357547,0.9412930650701805,0.937655966602366,0.9309953740833692,0.9421671153090168,0.9380687247601374,0.00393503562836154,18
