mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.092132568359375,0.03419790745012838,0.01038517951965332,0.000734080956960732,0.01,3,100,0.5,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.5066217184066772,0.673853874206543,0.6710819602012634,0.5296366810798645,0.6157091856002808,0.5993806838989257,0.06988905590177516,35
0.06659317016601562,0.009379622271493093,0.010510635375976563,0.0006213672198971395,0.01,3,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1}",0.5070755481719971,0.6784145832061768,0.6714190244674683,0.5223219394683838,0.6151244640350342,0.598871111869812,0.07230592814018248,36
0.12009363174438477,0.01599253730793476,0.010287761688232422,0.0009674067988003648,0.01,3,200,0.5,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.5}",0.7522022724151611,0.8133325576782227,0.7990921139717102,0.7218676805496216,0.8076711893081665,0.7788331627845764,0.035739433720008686,29
0.12703967094421387,0.031198378273526135,0.011613607406616211,0.0024752844919849267,0.01,3,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1}",0.7378913164138794,0.8169155120849609,0.8057790398597717,0.711359977722168,0.8025920391082764,0.7749075770378113,0.0421726076812536,30
0.14435935020446777,0.00572621610989278,0.012671613693237304,0.002008358922350044,0.01,5,100,0.5,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.5554778575897217,0.7360594868659973,0.7307665348052979,0.5689480304718018,0.6841223239898682,0.6550748467445373,0.07806265207048745,34
0.11396408081054688,0.016215887382017822,0.011078357696533203,0.0010295903541309688,0.01,5,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1}",0.5841797590255737,0.7434214353561401,0.7320656776428223,0.5603079795837402,0.6895201802253723,0.6618990063667297,0.07575383232778118,33
0.16967649459838868,0.011285615445011391,0.010823202133178712,0.0009618233537391865,0.01,5,200,0.5,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.5}",0.794562041759491,0.8708420395851135,0.8611265420913696,0.7612826824188232,0.865336000919342,0.8306298613548279,0.04441058831897268,28
0.15592036247253419,0.023668098057270995,0.010689020156860352,0.0006262385562334935,0.01,5,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1}",0.8052927851676941,0.876032829284668,0.8624387979507446,0.7592989206314087,0.8680915832519531,0.8342309832572937,0.04503742597244466,27
0.13934617042541503,0.018888890881531815,0.009847784042358398,0.0005345257895360345,0.01,7,100,0.5,"{'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.5605802536010742,0.747464120388031,0.7520943880081177,0.5724130868911743,0.6799811720848083,0.6625066041946411,0.08252870275818125,32
0.13520970344543456,0.01621462962712673,0.009602928161621093,0.0005760810121091687,0.01,7,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 7, 'model__n_estimators': 100, 'model__subsample': 1}",0.5917189717292786,0.7611567378044128,0.7608910799026489,0.5738905668258667,0.6830673813819885,0.6741449475288391,0.08002566499728078,31
