,CV Mean F1,Test Accuracy,Precision,Recall,ROC AUC Score,F1 Score
Dummy,0.0,0.7345635202271115,0.0,0.0,0.5,0.0
Logistic Regression,0.6303259598972053,0.7416607523066004,0.5084459459459459,0.8048128342245989,0.8463638947014905,0.6231884057971014
Random Forest,0.5355900837030603,0.7792760823278921,0.6082474226804123,0.4732620320855615,0.8222738897930714,0.5323308270676692
XG Boost,0.6025210375784329,0.7558552164655784,0.5327510917030568,0.6524064171122995,0.8184052804257408,0.5865384615384616
